"pointid","xcoord","ycoord"
644,497789.427091632,4754857.8971823
645,497492.655812869,4756395.71199044
646,486907.813536986,4752339.83784734
647,487402.432334925,4753302.09623606
648,519273.869060268,4752591.64378084
649,531180.692487005,4752942.37347392
650,530470.240031785,4754030.53482939
651,528887.459878381,4753895.63879358
652,527745.340108596,4753877.65265548
653,523941.271898997,4754794.94569893
654,497420.711260442,4753032.30416445
655,523545.576860646,4753158.2071312
656,528221.972768428,4753212.16554552
657,487150.626401429,4753293.103167
658,499237.311209234,4753589.87444577
659,484425.72647824,4753832.68731021
660,514354.660288044,4753868.65958642
661,531036.80338215,4754075.50017465
662,491782.056963943,4754129.45858897
663,529786.766783724,4754237.37541761
664,516315.149341691,4754282.34076288
665,517412.303766209,4755739.21794954
666,500388.424048073,4755091.71697769
667,499372.207245035,4754866.89025135
668,491611.188651928,4755091.71697769
669,501440.613127324,4754785.95262987
670,488661.462002404,4755181.64766822
671,520964.566042313,4755379.4951874
672,513041.672206244,4755730.22488048
673,513428.374175541,4760379.6415811
674,514723.376119235,4760811.30889567
675,498194.115199037,4755847.13477818
676,483220.655225081,4755973.03774493
677,483040.793844013,4757744.67234845
678,484012.045301783,4758104.39511059
679,516530.982998973,4756071.96150451
680,527043.880722429,4756287.79516179
681,485972.53435543,4756431.68426665
682,491269.452027898,4756746.44168352
683,492087.82131176,4758967.72973972
684,479704.365225192,4756782.41395973
685,479272.697910627,4757618.7693817
686,480369.852335145,4758230.29807734
687,481197.21468806,4758266.27035355
688,496107.723178642,4757070.19216944
689,496017.792488107,4760604.46830744
690,496548.383562259,4761027.14255295
691,487843.092718543,4757088.17830755
692,503167.282385581,4757313.00503389
693,502519.781413735,4757277.03275767
694,476925.506887683,4757456.89413874
695,479011.898908078,4757492.86641495
696,528356.868804229,4758041.44362721
697,525838.80946927,4758113.38817964
698,523797.382794142,4758023.45748911
699,523338.736272417,4757555.81789833
700,490397.124329716,4758068.42283437
701,523167.867960402,4758176.33966301
702,509696.250518369,4758185.33273207
703,481089.297859419,4758572.03470137
704,480019.122642061,4758787.86835865
705,536396.672537993,4759075.64656836
706,537439.86854819,4759876.02971411
707,538096.36258909,4760469.57227164
708,542107.271386918,4765469.71866534
709,542592.897115804,4767996.77106936
710,542952.619877941,4768905.07104375
711,544193.663407314,4770730.6640616
712,544202.656476367,4770757.64326876
713,544715.261412412,4772412.36797459
714,546001.270287052,4773482.54319195
715,547143.390056837,4774112.05802569
716,547898.807857325,4774534.7322712
717,550254.991949323,4776639.1104297
718,551567.980031123,4779597.83014828
719,548717.177141187,4783168.07856249
720,548429.398931477,4783464.84984125
721,547503.112818974,4784472.07357523
722,547458.147473707,4784499.05278239
723,547305.265299799,4785488.29037827
724,546846.618778074,4785704.12403555
725,545902.346527465,4786837.25073629
726,545065.991105496,4786927.18142682
727,543105.502051849,4788078.29426566
728,542646.855530124,4788384.05861347
729,541001.123893347,4788779.75365183
730,539787.059571134,4790470.45063387
731,537880.528931808,4792314.02978982
732,536819.346783504,4792826.63472587
733,536657.471540542,4792889.58620924
734,535776.150773306,4793087.43372842
735,534903.823075124,4792790.66244965
736,534400.211208132,4792242.0852374
737,533437.952819415,4792134.16840875
738,533428.959750362,4792134.16840875
739,528554.716323405,4792889.58620924
740,528212.979699374,4792700.73175912
741,526837.0401342,4793627.01787162
742,526531.275786384,4794499.3455698
743,521657.032359426,4796405.87620913
744,521405.226425931,4795848.30592782
745,520919.600697046,4795218.79109408
746,520433.97496816,4794661.22081277
747,517160.497832713,4793384.20500718
748,517178.48397082,4792260.0713755
749,516872.719623004,4791504.65357501
750,517960.880978468,4789382.2892784
751,518275.638395338,4788707.8090994
752,518581.402743155,4787457.77250097
753,518437.5136383,4787107.04280789
754,517799.005735506,4786459.54183604
755,517673.102768758,4786072.83986674
756,517592.165147278,4784750.85871589
757,517313.380006621,4784499.05278239
758,515092.091950425,4784193.28843458
759,514660.424635861,4783626.72508421
760,514651.431566807,4783626.72508421
761,513140.595965832,4783563.77360084
762,510118.92476388,4782484.60531443
763,509489.40993014,4782556.54986685
764,507708.782257562,4782772.38352414
765,507295.101081104,4782520.57759064
766,506072.043689838,4782340.71620957
767,504983.882334374,4782007.9726546
768,504084.575429031,4781828.11127353
769,504075.582359978,4781837.10434258
770,503176.275454635,4780892.83209197
771,498338.004303891,4760073.87723329
772,520200.155172771,4759219.53567321
773,527205.755965391,4759615.23071156
774,488319.725378374,4759651.20298778
775,516800.775070576,4759723.1475402
776,536783.37450729,4759786.09902358
777,538276.223970159,4760145.82178572
